,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
0,BBC,Fri Mar 30 17:06:00 +0000 2018,"'Change doesn't come from outside.'

#Pilgrimage: The Road to Santiago | 9pm | @BBCTwo https://t.co/N4Fxc0EU77",0.0,0.0,1.0,0.0,1
1,BBC,Fri Mar 30 16:26:45 +0000 2018,❤️ A dying man was granted his final wish in hospital - a visit from his dog. https://t.co/xE4rkcBJNv,0.5719,0.266,0.734,0.0,2
2,BBC,Fri Mar 30 16:02:04 +0000 2018,"The illegal wildlife trade is worth £18bn per year, but @wildliferescue are working to turn it around.… https://t.co/fe3MDr2TN9",-0.2144,0.073,0.81,0.116,3
3,BBC,Fri Mar 30 15:25:47 +0000 2018,"RT @bbceurovision: 🇬🇧 Presenting our 2018 dream team! @Grahnort hosts the Grand Final on @BBCOne. Fresh from You Decide, we welcome @Rylan!…",0.8715,0.377,0.623,0.0,4
4,BBC,Fri Mar 30 15:10:56 +0000 2018,RT @BBCNews: Heartbeat actor Bill Maynard dies at 89 https://t.co/BMeMLwjPpV,0.0,0.0,1.0,0.0,5
5,BBC,Fri Mar 30 14:54:01 +0000 2018,We use an estimated 8.5b plastic straws every year in the UK and they're among the top 10 items found in beach clea… https://t.co/K9r6HRVu3V,0.2023,0.073,0.927,0.0,6
6,BBC,Fri Mar 30 13:05:00 +0000 2018,Graphic artist Gabriella Marcella uses a vintage #Risograph printer to produce amazing designs. https://t.co/W9JK5vLbSf,0.5859,0.241,0.759,0.0,7
7,BBC,Fri Mar 30 12:04:01 +0000 2018,"Meena was raised to be a ‘good Indian girl' - to cook, clean and find a husband.

But as an environmental activist… https://t.co/HWMRk97Wdm",0.4019,0.124,0.876,0.0,8
8,BBC,Fri Mar 30 10:39:54 +0000 2018,RT @BBC6Music: Elementary! Martin Freeman and @ACIDJAZZRECS' @eddiepiller delve into their record bag(gins) to share some choice cuts as th…,0.4574,0.213,0.697,0.09,9
9,BBC,Fri Mar 30 10:33:02 +0000 2018,🐘🤷‍♀️ A video of a 'smoking' wild elephant in India is baffling scientists and wildlife experts around the world. https://t.co/CENdAQYy5v,0.0,0.0,1.0,0.0,10
10,BBC,Fri Mar 30 10:03:04 +0000 2018,"Advertisers are the experts at persuading us to eat burgers, crisps and fizzy drinks. But could they convince us to… https://t.co/JpuBKADOMB",0.25,0.091,0.909,0.0,11
11,BBC,Fri Mar 30 09:06:02 +0000 2018,It's been described as a 'game changer' for Multiple Sclerosis patients - scientists say a stem cell transplant can… https://t.co/Ru1R67FHig,0.0,0.0,1.0,0.0,12
12,BBC,Fri Mar 30 08:27:05 +0000 2018,"🍍 A squeeze of pineapple juice works wonders for dough...

🍞 Here are 10 things you knead to know about bread! 

👉… https://t.co/ajVBvN31mi",0.0,0.0,1.0,0.0,13
13,BBC,Fri Mar 30 07:30:02 +0000 2018,"😢🐘 This poor elephant has his foot caught on a deadly snare. 
Can the team save him before its too late?… https://t.co/7pbk2WA7hW",0.0258,0.126,0.751,0.123,14
14,BBC,Thu Mar 29 20:41:00 +0000 2018,"At a time when men thought women shouldn't speak until they were spoken to, this female artist refused to be silent… https://t.co/mbaGBW4xMj",-0.296,0.0,0.901,0.099,15
15,BBC,Thu Mar 29 18:45:08 +0000 2018,"RT @BBCBreakfast: Counting down the hours until you go home for Easter?
🌧🌤🌨 Here's your Easter weekend forecast: https://t.co/EXeBCHutS4",0.0,0.0,1.0,0.0,16
16,BBC,Thu Mar 29 18:44:20 +0000 2018,RT @bbcrb: Retirement's looking rosy for Hank the police horse! 🐎😆 https://t.co/xB9kXZeWNE,0.0,0.0,1.0,0.0,17
17,BBC,Thu Mar 29 18:44:11 +0000 2018,"RT @BBCNewsbeat: Anthony Joshua faces Joseph Parker in Cardiff on Saturday.
And he's eating a LOT to prepare... 😋 💪 https://t.co/qp6xw04IiC",0.0,0.0,1.0,0.0,18
18,BBC,Thu Mar 29 18:43:51 +0000 2018,RT @BBCOne: Anyone else having a 'chilled one'? 🐼 https://t.co/WRBeDdaK18,0.0,0.0,1.0,0.0,19
19,BBC,Thu Mar 29 18:05:02 +0000 2018,"❤️ 'That was it I just totally fell in love with art.'

🎶 How grime changed Ade Adesina's life. https://t.co/eDyh75YBvl",0.4522,0.194,0.697,0.109,20
20,BBC,Thu Mar 29 17:04:05 +0000 2018,"🍳 Wanna get the kids cooking this #EasterWeekend? 
Here are 10 recipes to keep them busy in the kitchen.
👉… https://t.co/5xxQNyyRMg",0.0,0.0,1.0,0.0,21
21,BBC,Thu Mar 29 16:12:19 +0000 2018,RT @BBCTaster: We've just released a host of amazing new artefacts for the #CivilisationsAR app! Discover history's treasures wherever you…,0.784,0.288,0.712,0.0,22
22,BBC,Thu Mar 29 16:03:03 +0000 2018,✊ Plastic protest! https://t.co/9m59wayYH8,-0.3164,0.0,0.466,0.534,23
23,BBC,Thu Mar 29 15:41:25 +0000 2018,"RT @bbcarts: This Picture Wall in Lahore, Pakistan stretches for over 450 metres and is full of mesmerising mosaics https://t.co/ZFhuF7PiQP",0.0,0.0,1.0,0.0,24
24,BBC,Thu Mar 29 15:31:22 +0000 2018,RT @bbcwritersroom: #OrdealByInnocence begins on @BBCOne on Easter Sunday 1st April at 9pm and @BBCiPlayer. #Screenwriter @PhelpsieSarah ex…,0.0,0.0,1.0,0.0,25
25,BBC,Thu Mar 29 15:26:27 +0000 2018,"RT @bbcideas: Author Lionel Shriver says we project ourselves on to our possessions – and that she is her toy donkey, Clippety 😊.

We'd lik…",0.0,0.0,1.0,0.0,26
26,BBC,Thu Mar 29 15:24:08 +0000 2018,RT @BBCTwo: Imagine living in this incredible Swiss chalet! 😍🇨🇭 #TheWorldsMostExtraordinaryHomes https://t.co/NofijuERJg,0.0,0.0,1.0,0.0,27
27,BBC,Thu Mar 29 15:04:02 +0000 2018,"😂 So, who's going out tonight? https://t.co/u2L4sEKjE2",0.0,0.0,1.0,0.0,28
28,BBC,Thu Mar 29 14:21:11 +0000 2018,"🎹🎶 Why it's never too late to learn an instrument. 
👉 https://t.co/lbBppX8XlO

#PianoDay https://t.co/x1CegC7iho",0.0,0.0,1.0,0.0,29
29,BBC,Thu Mar 29 14:07:48 +0000 2018,RT @bbcpress: Everyone's favourite fox reads out #MeanTweets (if he can get the right app open). For more @RealBasilBrush watch #Generation…,0.0,0.0,1.0,0.0,30
30,BBC,Thu Mar 29 12:31:03 +0000 2018,"Happy birthday to Alfred and Robert! 🎈 🎉 Britain's two oldest men, born on the same day, have been celebrating turn… https://t.co/R7GXbEXl3v",0.8268,0.299,0.701,0.0,31
31,BBC,Thu Mar 29 11:00:21 +0000 2018,"This bizarrely cute creature is just the latest species to suffer a social media selfie ban. 
👉… https://t.co/bG9qcXtouW",-0.6249,0.124,0.581,0.295,32
32,BBC,Thu Mar 29 10:18:02 +0000 2018,"RT @BBCRadio2: Today we say farewell to the brilliant @RealLynnBowles. 😢
Her sharp wit, warm tones, and encyclopaedic knowledge of the UK's…",0.6908,0.231,0.769,0.0,33
33,BBC,Thu Mar 29 08:00:12 +0000 2018,🐶❤️ Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031,0.784,0.345,0.655,0.0,34
34,BBC,Thu Mar 29 07:27:07 +0000 2018,👀🌸 The world famous cherry blossoms of Japan bring hundreds of thousands of visitors to see them and this year they… https://t.co/kGMsyZnWzi,0.0,0.0,1.0,0.0,35
35,BBC,Thu Mar 29 07:00:10 +0000 2018,"What do you get if you cross a polar bear and a grizzly? 

🐻😍… A pizzly! 
#DavidAttenboroughsNaturalCuriosities https://t.co/FwqiMiTd2m",0.0,0.0,1.0,0.0,36
36,BBC,Wed Mar 28 18:00:05 +0000 2018,🇮🇪 This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW,0.0,0.0,1.0,0.0,37
37,BBC,Wed Mar 28 17:00:12 +0000 2018,"📚 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N",0.296,0.109,0.891,0.0,38
38,BBC,Wed Mar 28 16:30:00 +0000 2018,The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP,-0.8225,0.0,0.688,0.312,39
39,BBC,Wed Mar 28 16:00:10 +0000 2018,Slacking off in Dubai. https://t.co/a3oSKIxfSK,0.0,0.0,1.0,0.0,40
40,BBC,Wed Mar 28 15:35:27 +0000 2018,RT @BBCTheOneShow: The fantastic @george_ezra warming up with a quick cuppa after sound check. Join us at 7pm where he’ll be performing liv…,0.7506,0.28,0.72,0.0,41
41,BBC,Wed Mar 28 13:32:04 +0000 2018,"Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. 🚘 https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1",0.0,0.0,1.0,0.0,42
42,BBC,Wed Mar 28 12:26:01 +0000 2018,"The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO",-0.3182,0.0,0.887,0.113,43
43,BBC,Wed Mar 28 11:50:54 +0000 2018,RT @bbceurovision: We are starting a #Eurovision 2018 group chat. The tea from when @surieofficial met @saaraaalto 👉 https://t.co/c3PuiYT6S…,0.0,0.0,1.0,0.0,44
44,BBC,Wed Mar 28 11:49:07 +0000 2018,"RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…",0.0,0.0,1.0,0.0,45
45,BBC,Wed Mar 28 11:47:35 +0000 2018,"RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…",0.0,0.0,1.0,0.0,46
46,BBC,Wed Mar 28 11:47:08 +0000 2018,"RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…",-0.34,0.0,0.902,0.098,47
